Timestamp,Machine Status,QSDELAY,Internal Temperature (°C)
2024-11-04 18:19:52,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:20:00,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:20:08,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:20:16,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:20:24,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:20:32,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:20:40,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:20:48,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:20:56,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:21:04,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:21:12,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:21:20,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:21:28,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:21:36,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:21:44,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:21:52,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:22:00,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:22:08,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:22:16,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:22:24,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:22:32,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:22:40,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:22:49,$ Bad Value,$ Bad Value,$ Bad Value
2024-11-04 18:22:57,$ Bad Value,$ Bad Value,$ Bad Value
