Timestamp,Machine Status,QSDELAY,Internal Temperature (°C)
2024-11-05 11:13:07,Laser Fire !,$QSDELAY 220,$LTEMF 27
2024-11-05 11:13:15,Laser Fire !,$QSDELAY 220,$LTEMF 16
